"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2017 JQ1)","2017-May-04 01:16 ± < 00:01","0.00114","0.00113","11.24","11.03","29.3","3.7 m -  8.2 m","0"
"(2017 JB2)","2017-May-04 03:18 ± < 00:01","0.00037","0.00037","4.78","2.92","29.2","3.8 m -  8.6 m","1"
"(2017 OO1)","2017-Jul-21 03:32 ± < 00:01","0.00085","0.00085","10.37","10.06","24.5","33 m -   75 m","3"
"(2017 QP1)","2017-Aug-14 21:23 ±    00:18","0.00042","0.00040","23.96","23.70","24.3","37 m -   83 m","4"
"(2017 QN2)","2017-Aug-20 21:56 ± < 00:01","0.00145","0.00144","15.29","15.17","28.3","5.8 m -   13 m","0"
"(2019 DP)","2017-Aug-29 20:36 ± < 00:01","0.00041","0.00041","9.50","8.79","25.1","26 m -   58 m","3"
"(2017 QB35)","2017-Sep-03 08:41 ± < 00:01","0.00238","0.00238","4.13","3.85","29.3","3.7 m -  8.2 m","0"
"(2017 SQ2)","2017-Sep-14 16:14 ± < 00:01","0.00133","0.00133","10.06","9.86","25.8","18 m -   41 m","2"
"(2020 CD3)","2017-Sep-18 06:00 ± < 00:01","0.00134","0.00134","1.89","-NaN","31.7","1.2 m -  2.7 m","0"
"(2017 SM2)","2017-Sep-20 07:34 ± < 00:01","0.00207","0.00207","8.50","8.34","27.3","9.2 m -   21 m","0"
"(2017 SZ32)","2017-Sep-20 15:50 ±    00:02","0.00138","0.00137","22.37","22.28","29.3","3.8 m -  8.4 m","0"
"(2017 SR2)","2017-Sep-20 20:29 ± < 00:01","0.00062","0.00062","9.99","9.55","28.6","5.1 m -   11 m","1"
"(2017 SU17)","2017-Sep-24 08:12 ± < 00:01","0.00185","0.00184","8.44","8.27","28.0","6.7 m -   15 m","0"
"(2017 SS12)","2017-Sep-24 15:32 ± < 00:01","0.00172","0.00172","10.31","10.16","27.1","10 m -   23 m","1"
"(2017 TQ2)","2017-Sep-30 12:16 ±    00:03","0.00069","0.00069","14.73","14.47","29.4","3.6 m -  7.9 m","0"
"(2017 SX17)","2017-Oct-02 10:20 ± < 00:01","0.00058","0.00058","7.31","6.66","28.3","5.8 m -   13 m","1"
"(2017 TF5)","2017-Oct-10 07:44 ±    00:10","0.00188","0.00186","22.80","22.73","25.5","21 m -   47 m","2"
"(2012 TC4)","2017-Oct-12 05:42 ± < 00:01","0.00034","0.00034","7.65","6.52","26.7","12 m -   27 m","2"
"(2017 UF)","2017-Oct-15 03:23 ± < 00:01","0.00255","0.00254","23.07","23.03","27.9","7.0 m -   16 m","0"
"(2017 TH5)","2017-Oct-16 17:16 ± < 00:01","0.00067","0.00067","12.06","11.72","28.4","5.6 m -   12 m","1"
"(2017 UR2)","2017-Oct-17 16:32 ±    00:01","0.00213","0.00213","10.84","10.73","27.7","7.7 m -   17 m","0"
"(2017 TD6)","2017-Oct-19 18:53 ± < 00:01","0.00128","0.00128","9.21","8.98","27.2","9.7 m -   22 m","1"
"(2017 UJ2)","2017-Oct-20 14:07 ±    00:01","0.00012","0.00012","8.48","5.24","30.9","1.8 m -  3.9 m","1"
